0x14ffd18de1,bayonetta_airshooter
0x0f28c8d527,bayonetta_bruce
0x0f1cbbbbcb,bayonetta_brush
0x10e909a2fd,bayonetta_bucket
0x124f42bc20,bayonetta_building
0x10b425a42e,bayonetta_bullet
0x112164605f,bayonetta_bunshin
0x0f9022c9b8,bayonetta_burst
0x0d14ba860f,bayonetta_bus
0x16853ab4cc,bayonetta_butterflynet
0x0cac70700e,bayonetta_c4
0x12176cce3f,bayonetta_c4switch
0x0d58d057b4,bayonetta_can
0x148ece00ca,bayonetta_cannonball
0x0da2df6ad7,bayonetta_cap
0x0f2421dbd0,bayonetta_cappy
0x16a293ffc7,bayonetta_capsuleblock
0x116fc76f1b,bayonetta_chakram
0x16ecdbbe0c,bayonetta_championbelt
0x11ab903643,bayonetta_changer
0x16fbbd8420,bayonetta_chaosemerald
0x141f85211b,bayonetta_chargeshot
0x11a84dbed1,bayonetta_chariot
0x16de0e1b96,bayonetta_chariotsight
0x0f8d2d9ad7,bayonetta_chrom
0x0eb8cf0e4b,bayonetta_clay
0x14f175ae28,bayonetta_clayrocket
0x0fdf407fdc,bayonetta_cloud
0x1066d42b6c,bayonetta_coffin
0x10e2bf2c24,bayonetta_condor
0x1a2ac6422f,bayonetta_copy_inkling_gun
0x1bfa1a5f9b,bayonetta_copy_inkling_tank
0x0fe93fda3c,bayonetta_crack
0x11f2ad3607,bayonetta_cracker
0x0f3af499d7,bayonetta_crash
0x137f928643,bayonetta_crashbomb
0x0fba0f7d31,bayonetta_cross
0x0fbd65d4ec,bayonetta_crown
0x117b3da1f1,bayonetta_crystal
0x0f7fefc42f,bayonetta_cshot
0x104e2c7f44,bayonetta_cypher
0x1276465d4d,bayonetta_daimonji
0x1384b5d24c,bayonetta_deathball
0x0e61c302b2,bayonetta_dein
0x108d0bbf37,bayonetta_dein_s
0x105cff145f,bayonetta_demonp
0x113a93f344,bayonetta_dengeki
0x15096758f3,bayonetta_dengekidama
0x0ff75f6c01,bayonetta_diver
0x123dbc22d7,bayonetta_dkbarrel
0x127cbecaee,bayonetta_doclouis
0x0fb6a79ab5,bayonetta_dokan
0x10146cfbb0,bayonetta_dolfin
0x14d44f750c,bayonetta_doseitable
0x0f8b794a6e,bayonetta_doyle
0x14e6b738ac,bayonetta_dragonhand
0x13ec8937ce,bayonetta_drcapsule
0x1288f0de67,bayonetta_drmantle
0x105be59ecc,bayonetta_dunban
0x10bb40babf,bayonetta_elwind
0x0fc63df478,bayonetta_entry
0x15650b1853,bayonetta_entryobject
0x0db4164644,bayonetta_esa
0x18435bd92f,bayonetta_escapeairdummy
0x10bb0a9b03,bayonetta_esword
0x13cbe97ac4,bayonetta_explosion
0x180b95def6,bayonetta_explosiveflame
0x20932bd86b,bayonetta_explosiveflame_reserve
0x17e22a9ce8,bayonetta_exprosiveshot
0x0fcd00aedd,bayonetta_fairy
0x156fb7bed7,bayonetta_falconpunch
0x0f00f55050,bayonetta_fence
0x13689f4c83,bayonetta_finalbeam
0x1379b64cd1,bayonetta_finalbird
0x12b884b93b,bayonetta_finalcan
0x15571048d4,bayonetta_finalcutter
0x19c375ac0b,bayonetta_finalcuttershot
0x125a943a94,bayonetta_finaldog
0x138a877798,bayonetta_finalduck
0x14ed2a980e,bayonetta_finalenemy
0x14beb85d54,bayonetta_finalgrass
0x1590bfbc8d,bayonetta_finalgunman
0x0f1f5562d6,bayonetta_fiora
0x0efc34214f,bayonetta_fire
0x0ffc4ad62d,bayonetta_fire2
0x1281eb6127,bayonetta_fireball
0x15a73d0e2e,bayonetta_firehydrant
0x1aa8e8ae61,bayonetta_firehydrantwater
0x141d2ad218,bayonetta_firepillar
0x12a69741fc,bayonetta_firework
0x1500221d1d,bayonetta_fishingline
0x148d40ada1,bayonetta_fishingrod
0x156f115ed7,bayonetta_flamepillar
0x10a020f073,bayonetta_flare1
0x103929a1c9,bayonetta_flare2
0x14bbcfb0e0,bayonetta_flaredummy
0x1752931aa8,bayonetta_flaregrenades
0x0f42d2360b,bayonetta_flash
0x10a9e15581,bayonetta_flower
0x13ee8b79ee,bayonetta_flowerpot
0x0e70d20177,bayonetta_food
0x0f1e182f24,bayonetta_forge
0x0f7ff76eb6,bayonetta_forte
0x132e5aa993,bayonetta_fourwings
0x1651ac036e,bayonetta_fullthrottle
0x13dc23c16b,bayonetta_furniture
0x0f292f06ee,bayonetta_fusin
0x15154fb97a,bayonetta_fusionsword
0x102784bba2,bayonetta_ganond
0x10ee28eeb8,bayonetta_garlic
0x0e1cc1b014,bayonetta_gate
0x0f90fa4408,bayonetta_gbeam
0x13a80dbdb5,bayonetta_gekkougas
0x12c73615c5,bayonetta_gigafire
0x15e2871965,bayonetta_gimmickjump
0x11239ca5a7,bayonetta_godwing
0x126a1b0c8e,bayonetta_gomorrah
0x138931f28d,bayonetta_gongfinal
0x0fe880bc49,bayonetta_gordo
0x0f4511f6fb,bayonetta_grass
0x1196575d59,bayonetta_grenade
0x193c3abf70,bayonetta_grenadelauncher
0x14cecaece6,bayonetta_groundbomb
0x0d7177283d,bayonetta_gun
0x10d62dab5f,bayonetta_gunman
0x169b601ab1,bayonetta_gunmanbullet
0x1669a14a75,bayonetta_gunnercharge
0x118953729b,bayonetta_gunship
0x0eb87b0c44,bayonetta_gyro
0x14f0e245f3,bayonetta_gyroholder
0x11e3df7e4f,bayonetta_hadoken
0x0e381d4999,bayonetta_hair
0x10d0c31e6d,bayonetta_hammer
0x15e5390492,bayonetta_hardknuckle
0x0da9e7412f,bayonetta_hat
0x10749c7afd,bayonetta_helmet
0x12aa0c4a43,bayonetta_himohebi
0x13f5aaa26d,bayonetta_himohebi2
0x0ecc271511,bayonetta_hole
0x15e1662301,bayonetta_hominglaser
0x16a3b2bb76,bayonetta_homingtarget
0x1228fc29eb,bayonetta_hookshot
0x169c3cff92,bayonetta_hookshothand
0x0e8fb4f346,bayonetta_horn
0x0f8f864610,bayonetta_horse
0x0f8ac95095,bayonetta_house
0x12a2a4f080,bayonetta_hugebeam
0x15ad798887,bayonetta_hugecapsule
0x138a48b4c0,bayonetta_hugeflame
0x12a24c8266,bayonetta_hulahoop
0x0df0a36968,bayonetta_ice
0x11b1ab34a5,bayonetta_iceberg
0x169353768d,bayonetta_iceberg_wind
0x147f4f30ec,bayonetta_iceberghit
0x112a04bace,bayonetta_iceshot
0x12705afbe8,bayonetta_illusion
0x13ebb603c9,bayonetta_inkbullet
0x12f58a9beb,bayonetta_ironball
0x137a21753e,bayonetta_jethammer
0x12f08c1336,bayonetta_kaminari
0x0e6afd88d8,bayonetta_kart
0x1094450711,bayonetta_kassar
0x11bf15cd15,bayonetta_kinopio
0x1625a232e5,bayonetta_kinopiospore
0x0f575cf120,bayonetta_knife
0x105e210be5,bayonetta_koopag
0x12688cf2e9,bayonetta_kumatora
0x1570c80d89,bayonetta_kurofukuhat
0x0f0450cdc4,bayonetta_laser
0x1086d8e869,bayonetta_laser2
0x14ec46df9a,bayonetta_leafcutter
0x14ed61c62f,bayonetta_leafshield
0x11e0c4cb4e,bayonetta_leftarm
0x133b37bd48,bayonetta_lightning
0x17a39a018c,bayonetta_lightshuriken
0x1453a58192,bayonetta_littlemacg
0x18a3755308,bayonetta_lock_on_cursor
0x164aa99803,bayonetta_lockoncursor
0x1bcbfef754,bayonetta_lockoncursorready
0x128f7f99d9,bayonetta_lucariom
0x1354447557,bayonetta_magichand
0x13eea4fd6d,bayonetta_mainlaser
0x10d35d8641,bayonetta_mantle
0x0ff741ad96,bayonetta_mario
0x0edb85ebb0,bayonetta_mask
0x13785e5754,bayonetta_maskfinal
0x0f1feabaae,bayonetta_mball
0x18feef2a5a,bayonetta_megaphonelaser
0x0e9cde4007,bayonetta_melt
0x10ac638839,bayonetta_meteor
0x11fcf4cd16,bayonetta_mewtwom
0x14c1b1e82d,bayonetta_miimissile
0x16693181a7,bayonetta_miipartshead
0x0e18ccb496,bayonetta_milk
0x11d02fc69f,bayonetta_missile
0x0ecea243b8,bayonetta_mona
0x126c6743a9,bayonetta_moneybag
0x1533ab8bd7,bayonetta_monsterball
0x0e47066f68,bayonetta_moon
0x14580a4a50,bayonetta_narrowbeam
0x0e47fec153,bayonetta_navy
0x106b6e765e,bayonetta_needle
0x1488ce78ca,bayonetta_needlehave
0x193b24ba2b,bayonetta_newdededehammer
0x10c3ef237f,bayonetta_nikita
0x1779fcbecb,bayonetta_nikitamissile
0x178b5b6be2,bayonetta_normal_weapon
0x124796a211,bayonetta_obakyumu
0x1132e74451,bayonetta_octopus
0x107a67ff59,bayonetta_office
0x0d771d45f4,bayonetta_oil
0x0da665a383,bayonetta_pad
0x0f4fb1ba07,bayonetta_panel
0x130c7b2094,bayonetta_parachute
0x13bdd86655,bayonetta_paralyzer
0x1abafd5f7e,bayonetta_paralyzer_bullet
0x1268827593,bayonetta_parasail
0x11cd9c80fe,bayonetta_partner
0x0ff0b13162,bayonetta_paula
0x117a44c756,bayonetta_peanuts
0x157c10d052,bayonetta_pfushigisou
0x1194214846,bayonetta_phantom
0x0e3d27271b,bayonetta_pick
0x181aae23fa,bayonetta_picopicohammer
0x0fa9d6622b,bayonetta_piece
0x0df7b57831,bayonetta_pig
0x1092e999c5,bayonetta_pikmin
0x13b6cf5eab,bayonetta_piratehat
0x1023aea8b6,bayonetta_pkfire
0x11866ce63a,bayonetta_pkflash
0x1219bddeab,bayonetta_pkfreeze
0x15c2978ca4,bayonetta_pkstarstorm
0x13de410ac0,bayonetta_pkthunder
0x0f9c82be53,bayonetta_plate
0x13fdd230e7,bayonetta_plizardon
0x11f357c344,bayonetta_plunger
0x11ceb3d640,bayonetta_pointer
0x16bcc56db3,bayonetta_poisonbreath
0x107a66a41c,bayonetta_pompon
0x0daf345785,bayonetta_poo
0x0d25519e69,bayonetta_pot
0x13bf64385f,bayonetta_powerstar
0x15c29e2b1d,bayonetta_psychobreak
0x123f264453,bayonetta_ptrainer
0x0e3cfd996d,bayonetta_pump
0x1394369074,bayonetta_pumpwater
0x10e876435a,bayonetta_punch1
0x10717f12e0,bayonetta_punch2
0x1006782276,bayonetta_punch3
0x135bb4bf0d,bayonetta_pushfinal
0x14a4acd137,bayonetta_pushobject
0x13ec79b73f,bayonetta_pzenigame
0x10267a0fd5,bayonetta_qigong
0x0efdb6c301,bayonetta_rail
0x1a1289916b,bayonetta_rapidshot_bullet
0x19f0811b10,bayonetta_reflectionboard
0x1582a362f0,bayonetta_remainclown
0x10f4470360,bayonetta_rescue
0x11e35754ca,bayonetta_reserve
0x11b66804fe,bayonetta_reticle
0x1802c7a355,bayonetta_reticle_cursor
0x1204a50e65,bayonetta_rightarm
0x0eb1f904b4,bayonetta_riki
0x0e2b36ddf6,bayonetta_ring
0x14357669fe,bayonetta_rockbuster
0x15732f02c0,bayonetta_rockmandash
0x14926845b7,bayonetta_rockmanexe
0x121dffa23a,bayonetta_rockmanx
0x1074c08ca3,bayonetta_roller
0x134e3521fe,bayonetta_rollerink
0x0e15f4ffb7,bayonetta_rope
0x0f4fc56cdd,bayonetta_rope2
0x1c947e5178,bayonetta_rosettaticomissile
0x12286ec467,bayonetta_roysword
0x0e8268afb4,bayonetta_rpg7
0x10b4d159b9,bayonetta_rubber
0x1225fd0172,bayonetta_rushcoil
0x131a0fd308,bayonetta_ryusensya
0x0e2181d94d,bayonetta_sack
0x105971ca06,bayonetta_samusp
0x11b6d89f63,bayonetta_scarier
0x10bac64ffc,bayonetta_search
0x0ee06dcb86,bayonetta_seed
0x1415638f68,bayonetta_shadowball
0x15a5ecf44f,bayonetta_shadowmario
0x1713ba9c19,bayonetta_shinkuhadoken
0x149d1b5422,bayonetta_shinryuken
0x1db132479a,bayonetta_shootingstarrockman
0x10f4b7373d,bayonetta_shovel
0x10db963d5d,bayonetta_shrine
0x123958f644,bayonetta_shuriken
0x145880ce31,bayonetta_silhouette
0x15c780420a,bayonetta_silhouettel
0x10cf4da959,bayonetta_simple
0x122cde59e1,bayonetta_simple2l
0x12d6d16482,bayonetta_simple2r
0x0fe22faba4,bayonetta_sleep
0x139f9cde74,bayonetta_slingshot
0x1141c09e85,bayonetta_slosher
0x0f700fa625,bayonetta_spark
0x0f7282e7ab,bayonetta_spear
0x13a61bf077,bayonetta_spearhand
0x19783f4c38,bayonetta_specialn_bullet
0x1827546754,bayonetta_specialupdummy
0x1341b0f823,bayonetta_spikeball
0x10e229d97a,bayonetta_spiral
0x127367cb1f,bayonetta_spitball
0x10b40e80ab,bayonetta_splash
0x14a9dfa688,bayonetta_splashbomb
0x16c713fc40,bayonetta_spreadbullet
0x1a990a9a0a,bayonetta_sprinkling_water
0x104c0d76c4,bayonetta_sprout
0x0fea151ce7,bayonetta_squid
0x0f83d5b56d,bayonetta_stake
0x0e6d317294,bayonetta_star
0x1524f8387a,bayonetta_starmissile
0x13548078a9,bayonetta_starpiece
0x15ee780b76,bayonetta_stealthbomb
0x175b419a62,bayonetta_stealthbomb_s
0x1589f9da3b,bayonetta_stethoscope
0x0ff43c6c22,bayonetta_stone
0x11482dd41d,bayonetta_strings
0x0fb45d9136,bayonetta_stuff
0x0fa37dfdac,bayonetta_stump
0x13a1b1c9fc,bayonetta_sunbullet
0x168559e8de,bayonetta_supermissile
0x1400bcd1fe,bayonetta_supersonic
0x1865ecd82c,bayonetta_sweatlittlemac
0x0f0c0ade52,bayonetta_swing
0x0f77f9ae07,bayonetta_sword
0x1084c6d200,bayonetta_sword2
0x13f4bc58e4,bayonetta_swordbeam
0x140d9b07b7,bayonetta_swordflare
0x0f1b35e64e,bayonetta_table
0x0ef9876609,bayonetta_takt
0x10fcfd2bb2,bayonetta_tamago
0x10c2607e18,bayonetta_tatami
0x14db85397f,bayonetta_throwsweat
0x119ecf1b18,bayonetta_thunder
0x0eb5287455,bayonetta_tico
0x0fd8c7e492,bayonetta_timmy
0x0ffdacbb4e,bayonetta_tommy
0x11418b5848,bayonetta_tomnook
0x114d3c68c3,bayonetta_tornado
0x15f2a51719,bayonetta_tornadoshot
0x0f4919f30b,bayonetta_towel
0x15eeeda154,bayonetta_trafficsign
0x145cff898d,bayonetta_trampoline
0x1877699543,bayonetta_transportation
0x0e13d4765c,bayonetta_tree
0x16ddbf4ae8,bayonetta_trenchmortar
0x1c920711dd,bayonetta_trenchmortarbullet
0x12e6537652,bayonetta_triforce
0x11251af57d,bayonetta_trolley
0x140d8dc262,bayonetta_ultrasword
0x17b39df95b,bayonetta_ultraswordhat
0x12bd38eda2,bayonetta_umbrella
0x0e4a5a2b8d,bayonetta_vine
0x10ad77f5cf,bayonetta_vortex
0x1302ded041,bayonetta_waddledee
0x13f66296df,bayonetta_wariobike
0x126735cd2c,bayonetta_warioman
0x1217fc1448,bayonetta_warpstar
0x0f162f7dd2,bayonetta_water
0x159996d044,bayonetta_waterdragon
0x154ea747ec,bayonetta_waterstream
0x0e7eee8509,bayonetta_wave
0x0feab52215,bayonetta_weeds
0x0ed1b854f3,bayonetta_whip
0x0f3eb0a5ff,bayonetta_whip2
0x1205ccbb58,bayonetta_whiphand
0x1292d5c0e2,bayonetta_whipwire
0x13092ad80d,bayonetta_whitebear
0x181219756e,bayonetta_wickedweavearm
0x18ff978bb5,bayonetta_wickedweaveleg
0x1221d55713,bayonetta_widebeam
0x0feb229f00,bayonetta_wiibo
0x0e9ee0d905,bayonetta_win1
0x0e07e988bf,bayonetta_win2
0x0e70eeb829,bayonetta_win3
0x1085d26d86,bayonetta_window
0x12c89cf82a,bayonetta_windummy
0x0e1ce82dc4,bayonetta_wing
0x121d8dcd1a,bayonetta_winsword
0x12f4d6cffe,bayonetta_wirerope
0x103d9bc489,bayonetta_wolfen
0x13f6964eb6,bayonetta_yoshibg01
0x1266e2602f,bayonetta_yoshimob
0x0ef3e22ae1,bayonetta_yoyo
0x12b416213f,bayonetta_yoyohead
0x10381db61a,brave_airshooter
0x0bafbef9a7,brave_ally1
0x0b36b7a81d,brave_ally2
0x0b41b0988b,brave_ally3
0x0bdfd40d28,brave_ally4
0x0ba8d33dbe,brave_ally5
0x0b31da6c04,brave_ally6
0x0ed724f06b,brave_allyarm1
0x0e4e2da1d1,brave_allyarm2
0x0e392a9147,brave_allyarm3
0x0ed0493472,brave_allyarm5
0x0e494065c8,brave_allyarm6
0x140c221d17,brave_allyarmbullet1
0x14952b4cad,brave_allyarmbullet2
0x14e22c7c3b,brave_allyarmbullet3
0x10bb0b00d1,brave_ancientbow
0x1567c62045,brave_ancientbowarrow
0x0c1a5f590b,brave_arrow1
0x0c835608b1,brave_arrow2
0x1309fe6a20,brave_artisticpoint
0x0c30048852,brave_arwing
0x106790f002,brave_arwingshot
0x17ff00827c,brave_attackairf_bullet
0x0e4c3a3811,brave_auraball
0x13158971ed,brave_autoaimbullet
0x1170a62844,brave_autoreticle
0x09dbc4a21b,brave_axe
0x10f316ab56,brave_background
0x0e30f258c8,brave_backpack
0x12cc054f56,brave_balanceboard
0x0da0024bb4,brave_balloon
0x0f3eadf075,brave_barreljet
0x103b5fe748,brave_barreljets
0x09283295a8,brave_bat
0x0bef0d50d0,brave_baton
0x0c0db3e90c,brave_batten
0x0a0998a5ef,brave_beam
0x0b6197023b,brave_beast
0x0c56861df7,brave_beetle
0x0dc06a764b,brave_bigbird
0x11d8ab7422,brave_bigbirdbase
0x0fa4c465cf,brave_bigpacman
0x0ede3f84d8,brave_bindball
0x0a18b1a5bd,brave_bird
0x0fb6ffc2af,brave_blackhole
0x0d12eb2346,brave_blaster
0x1440d789f7,brave_blaster_bullet
0x124333511c,brave_blasterchest
0x116db452ab,brave_blasterhead
0x117245a173,brave_blasterwing
0x11831ef2c8,brave_blazepillar
0x0e01e57ab9,brave_blizzard
0x0a263cc107,brave_blue
0x10f77e9974,brave_bluefalcon
0x1194444fe2,brave_blunderbuss
0x0a380572a4,brave_bomb
0x0ca7f150b4,brave_bonnie
0x0a73efa882,brave_book
0x0f0477f85f,brave_boomerang
0x103f405f71,brave_bosspackun
0x1150583c5a,brave_bottomshoot
0x092fb8e99c,brave_bow
0x0ebee7bd58,brave_bowarrow
0x11ebcd5a2c,brave_bowlingball
0x09bf07f40d,brave_box
0x0c6201d31a,brave_breath
0x0b24dbb58a,brave_broom
0x0b97045412,brave_bruce
0x0ba3773afe,brave_brush
0x0cbf05aa5f,brave_bucket
0x0edda8bc75,brave_building
0x0ce229ac8c,brave_bullet
0x0d19eaae93,brave_bunshin
0x0b2fee488d,brave_burst
0x0998f8d75e,brave_bus
0x12c379a252,brave_butterflynet
0x083d5dd250,brave_c4
0x0e8586ce6a,brave_c4switch
0x09d49206e5,brave_can
0x1049023b31,brave_cannonball
0x092e9d3b86,brave_cap
0x0b9bed5ae5,brave_cappy
0x12e4d0e959,brave_capsuleblock
0x0d5749a1d7,brave_chakram
0x12aa98a892,brave_championbelt
0x0d931ef88f,brave_changer
0x12bdfe92be,brave_chaosemerald
0x10d8491ae0,brave_chargeshot
0x0d90c3701d,brave_chariot
0x12984d0d08,brave_chariotsight
0x0b32e11be2,brave_chrom
0x0aa42f2d78,brave_clay
0x1036b995d3,brave_clayrocket
0x0b608cfee9,brave_cloud
0x0c30d823ce,brave_coffin
0x0cb4b32486,brave_condor
0x162b19f319,brave_copy_inkling_gun
0x1735a115b3,brave_copy_inkling_tank
0x0b56f35b09,brave_crack
0x0dca23f8cb,brave_cracker
0x0b853818e2,brave_crash
0x0f6401c938,brave_crashbomb
0x0b05c3fc04,brave_cross
0x0b02a955d9,brave_crown
0x0d43b36f3d,brave_crystal
0x0bc023451a,brave_cshot
0x0c182077e6,brave_cypher
0x0ee4ac5d18,brave_daimonji
0x0f9f269d37,brave_deathball
0x0a7d232181,brave_dein
0x0cdb07b795,brave_dein_s
0x0c0af31cfd,brave_demonp
0x0d021d3d88,brave_dengeki
0x1123cfbf5c,brave_dengekidama
0x0b4893ed34,brave_diver
0x0eaf562282,brave_dkbarrel
0x0eee54cabb,brave_doclouis
0x0b096b1b80,brave_dokan
0x0c4260f312,brave_dolfin
0x1013834ef7,brave_doseitable
0x0b34b5cb5b,brave_doyle
0x10217b0357,brave_dragonhand
0x0ff71a78b5,brave_drcapsule
0x0e1a1ade32,brave_drmantle
0x0c0de9966e,brave_dunban
0x0ced4cb21d,brave_elwind
0x0b79f1754d,brave_entry
0x114fa3fffc,brave_entryobject
0x0938541715,brave_esa
0x14584d8da9,brave_escapeairdummy
0x0ced0693a1,brave_esword
0x0fd07a35bf,brave_explosion
0x1410838a70,brave_explosiveflame
0x1c135ade87,brave_explosiveflame_reserve
0x13f5db61bd,brave_exprosiveshot
0x0b72cc2fe8,brave_fairy
0x11451f5978,brave_falconpunch
0x0bbf39d165,brave_fence
0x0f730c03f8,brave_finalbeam
0x0f622503aa,brave_finalbird
0x0e2a6eb96e,brave_finalcan
0x117db8af7b,brave_finalcutter
0x15c7b59c4a,brave_finalcuttershot
0x0ec87e3ac1,brave_finaldog
0x0f911438e3,brave_finalduck
0x102ae6a3f5,brave_finalenemy
0x10797466af,brave_finalgrass
0x11ba175b22,brave_finalgunman
0x0ba099e3e3,brave_fiora
0x0ae0d4027c,brave_fire
0x0b43865718,brave_fire2
0x0e13016172,brave_fireball
0x118d95e981,brave_firehydrant
0x16a9371f57,brave_firehydrantwater
0x10dae6e9e3,brave_firepillar
0x0e347d41a9,brave_firework
0x112a8afab2,brave_fishingline
0x104a8c965a,brave_fishingrod
0x1145b9b978,brave_flamepillar
0x0cf62cf8d1,brave_flare1
0x0c6f25a96b,brave_flare2
0x107c038b1b,brave_flaredummy
0x134562e7fd,brave_flaregrenades
0x0bfd1eb73e,brave_flash
0x0cffed5d23,brave_flower
0x0ff5183695,brave_flowerpot
0x0a6c322244,brave_food
0x0ba1d4ae11,brave_forge
0x0bc03bef83,brave_forte
0x0f35c9e6e8,brave_fourwings
0x1217ef15f0,brave_fullthrottle
0x0fc7b08e10,brave_furniture
0x0b96e387db,brave_fusin
0x113fe75ed5,brave_fusionsword
0x0c7188b300,brave_ganond
0x0cb824e61a,brave_garlic
0x0a00219327,brave_gate
0x0b2f36c53d,brave_gbeam
0x0fb39ef2ce,brave_gekkougas
0x0e55dc1590,brave_gigafire
0x11c82ffeca,brave_gimmickjump
0x0d1b126b6b,brave_godwing
0x0ef8f10cdb,brave_gomorrah
0x0f92a2bdf6,brave_gongfinal
0x0b574c3d7c,brave_gordo
0x0bfadd77ce,brave_grass
0x0daed99395,brave_grenade
0x1538fa8f31,brave_grenadelauncher
0x100906d71d,brave_groundbomb
0x09fd35796c,brave_gun
0x0c8021a3fd,brave_gunman
0x12dd230c2f,brave_gunmanbullet
0x122fe25ceb,brave_gunnercharge
0x0db1ddbc57,brave_gunship
0x0aa49b2f77,brave_gyro
0x10372e7e08,brave_gyroholder
0x0ddb51b083,brave_hadoken
0x0a24fd6aaa,brave_hair
0x0c86cf16cf,brave_hammer
0x11cf91e33d,brave_hardknuckle
0x0925a5107e,brave_hat
0x0c2290725f,brave_helmet
0x0e38e64a16,brave_himohebi
0x0fee39ed16,brave_himohebi2
0x0ad0c73622,brave_hole
0x11cbcec4ae,brave_hominglaser
0x12e5f1ade8,brave_homingtarget
0x0eba1629be,brave_hookshot
0x12da7fe90c,brave_hookshothand
0x0a9354d075,brave_horn
0x0b304ac725,brave_horse
0x0b3505d1a0,brave_house
0x0e304ef0d5,brave_hugebeam
0x1187d16f28,brave_hugecapsule
0x0f91dbfbbb,brave_hugeflame
0x0e30a68233,brave_hulahoop
0x097ce13839,brave_ice
0x0d8925fa69,brave_iceberg
0x12d5106013,brave_iceberg_wind
0x10b8830b17,brave_iceberghit
0x0d128a7402,brave_iceshot
0x0ee2b0fbbd,brave_illusion
0x0ff0254cb2,brave_inkbullet
0x0e67609bbe,brave_ironball
0x0f61b23a45,brave_jethammer
0x0e62661363,brave_kaminari
0x0a761dabeb,brave_kart
0x0cc2490fb3,brave_kassar
0x0d879b03d9,brave_kinopio
0x1263e1247b,brave_kinopiospore
0x0be8907015,brave_knife
0x0c082d0347,brave_koopag
0x0efa66f2bc,brave_kumatora
0x115a60ea26,brave_kurofukuhat
0x0bbb9c4cf1,brave_laser
0x0cd0d4e0cb,brave_laser2
0x102b8ae461,brave_leafcutter
0x102aadfdd4,brave_leafshield
0x0dd84a0582,brave_leftarm
0x0f20a4f233,brave_lightning
0x13b46bfcd9,brave_lightshuriken
0x109469ba69,brave_littlemacg
0x14b863078e,brave_lock_on_cursor
0x120cea8e9d,brave_lockoncursor
0x170445bd7c,brave_lockoncursorready
0x0e1d95998c,brave_lucariom
0x0f4fd73a2c,brave_magichand
0x0ff537b216,brave_mainlaser
0x0c85518ee3,brave_mantle
0x0b488d2ca3,brave_mario
0x0ac765c883,brave_mask
0x0f63cd182f,brave_maskfinal
0x0ba0263b9b,brave_mball
0x14e5f97edc,brave_megaphonelaser
0x0a803e6334,brave_melt
0x0cfa6f809b,brave_meteor
0x0dc47a03da,brave_mewtwom
0x10067dd3d6,brave_miimissile
0x122f729739,brave_miipartshead
0x0a042c97a5,brave_milk
0x0de8a10853,brave_missile
